"reviews_per_month";"name";"host_name";"neighbourhood_group";"neighbourhood";"latitude";"longitude";"room_type";"price";"minimum_nights";"number_of_reviews";"calculated_host_listings_count";"availability_365"
0.0;"Country space in the city";"Harriet";"Brooklyn";"Flatbush";40.63702;-73.96327;"Private room";150;1;0;1;365
1.81;"LowerEastSide apt share shortterm 1";"Ben";"Manhattan";"Lower East Side";40.71401;-73.98917;"Shared room";40;1;214;4;188
2.08;"ENJOY Downtown NYC!";"Edward";"Manhattan";"East Village";40.7229;-73.98199;"Private room";68;2;245;2;96
0.39;"Beautiful Sunny Park Slope Brooklyn";"Abdul";"Brooklyn";"South Slope";40.66278;-73.97966;"Entire home/apt";120;3;15;1;345
0.23;"1bdr w private bath. in lofty apt";"Yolande";"Brooklyn";"Fort Greene";40.69673;-73.97584;"Private room";120;7;25;1;311
0.69;"West Side Retreat";"Cyn";"Manhattan";"Upper West Side";40.79009;-73.97927;"Private room";135;4;81;1;273
0.84;"BEST BET IN HARLEM";"Earl";"Manhattan";"Harlem";40.81175;-73.94478;"Entire home/apt";150;7;97;1;309
0.49;"Entire apartment in central Brooklyn neighborhood.";"Rana";"Brooklyn";"Prospect-Lefferts Gardens";40.65944;-73.96238;"Entire home/apt";150;29;11;1;95
2.25;"1 Stop fr. Manhattan! Private Suite,Landmark Block";"Orestes";"Queens";"Long Island City";40.74771;-73.9474;"Private room";130;3;248;1;215
0.52;"Charming Brownstone 3 - Near PRATT";"Adreinne";"Brooklyn";"Bedford-Stuyvesant";40.68111;-73.95591;"Entire home/apt";110;7;61;1;265
1.16;"Fort Greene brownstone ";"Alexander";"Brooklyn";"Fort Greene";40.69142;-73.97376;"Private room";80;3;135;2;192
1.01;"Blue Room for 2 in Brownstone for $1350 monthly";"JT And Tiziana";"Brooklyn";"Bedford-Stuyvesant";40.68043;-73.93934;"Private room";80;1;112;3;251
0.63;"Cozy 1BD on Central Park West in New York City";"Joya";"Manhattan";"Upper West Side";40.78635;-73.97008;"Entire home/apt";151;2;73;1;302
0.7;"* ORIGINAL BROOKLYN LOFT *";"James";"Brooklyn";"Williamsburg";40.7042;-73.9356;"Entire home/apt";228;3;82;1;140
2.82;"Greenpoint Place...Has It All! ";"Jeanne";"Brooklyn";"Greenpoint";40.73506;-73.95392;"Entire home/apt";144;2;328;1;234
0.22;"Beautiful Apartment in Manhattan!!!";"Francesca";"Manhattan";"Kips Bay";40.73961;-73.98074;"Entire home/apt";200;7;19;1;257
0.9;"Williamsburg 1 bedroom Apartment";"Joanna";"Brooklyn";"Williamsburg";40.70881;-73.9593;"Entire home/apt";150;30;105;1;30
0.17;"Great Location, Manhattan Bedroom!";"Bianca";"Manhattan";"Lower East Side";40.72004;-73.99104;"Private room";110;5;19;1;301
2.49;"Best Location in NYC! TIMES SQUARE!";"Luiz";"Manhattan";"Hell's Kitchen";40.75531;-73.99293;"Private room";69;2;289;2;294
1.19;"Room in Greenpoint Loft w/ Roof";"Andrea";"Brooklyn";"Greenpoint";40.72401;-73.93788;"Private room";49;4;138;3;320
0.3;"**Bright Nolita Apt w Doorman/Elevators/Gym**";"Ted";"Manhattan";"SoHo";40.7221;-73.99775;"Entire home/apt";180;30;21;1;154
0.38;"Very, very cozy place";"Cristina";"Brooklyn";"Williamsburg";40.71185;-73.96204;"Private room";80;2;42;1;263
0.12;"Sunny & Spacious Chelsea Apartment";"Petra";"Manhattan";"Chelsea";40.74623;-73.9953;"Entire home/apt";375;180;5;1;180
0.57;"2 bedroom - Upper East Side-great for kids";"D";"Manhattan";"Upper East Side";40.77065;-73.95269;"Entire home/apt";250;2;66;2;231
1.33;"Comfortable 4-bedroom apt in family house.";"Dimitri";"Brooklyn";"Prospect Heights";40.67811;-73.96428;"Entire home/apt";200;30;143;2;297
0.23;"Double Room w Private Deck Clinton Hill Best Area";"Patricia";"Brooklyn";"Clinton Hill";40.69;-73.96788;"Private room";55;7;27;2;292
1.65;"Your Heaven in Hells Kitchen";"Mark";"Manhattan";"Hell's Kitchen";40.75979;-73.99119;"Private room";52;30;191;1;191
4.72;"Sunny, Modern room in East Village!";"Reka";"Manhattan";"East Village";40.72649;-73.97904;"Private room";80;1;338;2;72
1.4;"*HAVEN LOFT - Entire Floor - Six Windows - Bricks*";"Daniel";"Brooklyn";"Williamsburg";40.70933;-73.96792;"Entire home/apt";275;1;148;1;362
1.26;"Large Room in Amazing East Village Apt";"Casey";"Manhattan";"East Village";40.72298;-73.98474;"Private room";99;1;106;2;336
1.64;"SpaHa Loft: Enormous and Bright";"Robin";"Manhattan";"East Harlem";40.80164;-73.93922;"Entire home/apt";225;4;190;1;215
0.43;"Lovely EV Artist's Home";"Anna";"Manhattan";"East Village";40.72162;-73.98008;"Entire home/apt";230;9;49;1;116
0.43;"Cool Room in Hell's Kitchen";"Enzo";"Manhattan";"Hell's Kitchen";40.76342;-73.98865;"Private room";51;7;23;1;88
1.6;"HARLEM, NEW YORK WELCOMES YOU!!";"Tye And Etienne";"Manhattan";"Washington Heights";40.83139;-73.94095;"Private room";65;2;49;2;336
0.92;"BLUE TRIM GUEST HOUSE";"George";"Brooklyn";"Clinton Hill";40.68346;-73.96374;"Private room";105;2;105;1;304
0.2;"Charming East Village One Bedroom Flat";"Josh";"Manhattan";"East Village";40.72828;-73.98801;"Entire home/apt";190;5;21;1;224
1.5;"Manhattan Room";"Victoria";"Manhattan";"Upper East Side";40.76865;-73.95058;"Private room";200;1;142;1;322
0.22;"Little King of Queens";"Justin";"Queens";"Woodside";40.75038;-73.90334;"Private room";70;30;25;1;324
1.28;"Fort Greene Retreat on the Park";"Blaise";"Brooklyn";"Fort Greene";40.6932;-73.97267;"Private room";95;3;143;1;132
1.65;"Beautiful Meatpacking District Loft";"DAVID And RICK";"Manhattan";"Chelsea";40.74138;-74.00197;"Private room";150;3;167;1;295
0.54;"Cozy 2 BR in Williamsburg ";"Lulú";"Brooklyn";"Williamsburg";40.71154;-73.96112;"Private room";145;3;61;4;238
0.49;"Spacious luminous apt Upper West NYC";"Sybilla";"Manhattan";"Harlem";40.82915;-73.95136;"Entire home/apt";110;31;54;1;209
0.62;"Entire 2 Bedroom - Large & Sunny";"JoLynn";"Manhattan";"Lower East Side";40.71851;-73.98892;"Entire home/apt";285;5;70;1;328
0.15;"Sunny, Spacious Top Floor Haven";"Gaia";"Brooklyn";"Flatbush";40.65401;-73.96323;"Entire home/apt";130;6;16;1;38
0.84;"Private room Great Deal at Lower East Side";"Ana";"Manhattan";"Lower East Side";40.7114;-73.98794;"Private room";94;30;94;1;188
0.24;"perfect for a family or small group";"Maggie";"Brooklyn";"Brooklyn Heights";40.69723;-73.99268;"Entire home/apt";800;1;25;1;7
0.53;"2 bedroom Williamsburg Apt - Bedford L stop";"Starlee";"Brooklyn";"Williamsburg";40.71833;-73.95748;"Entire home/apt";105;3;61;1;272
1.73;"Oh glorious spring!";"Edward";"Manhattan";"East Village";40.72334;-73.9844;"Private room";60;3;194;1;26
1.54;"Cozy Bedroom in Williamsburg 3 BR";"Lulú";"Brooklyn";"Williamsburg";40.71156;-73.96218;"Private room";85;3;174;4;288
0.28;"Sunny room+Pvte office in huge loft";"Augustin";"Brooklyn";"Bushwick";40.70032;-73.9383;"Private room";65;4;24;1;317
3.4;"Spacious Prospect Heights Apartment";"Sean & Lynette";"Brooklyn";"Prospect Heights";40.68233;-73.97261;"Entire home/apt";131;4;166;1;207
0.2;"Large Parlor Room, Landmark Home 1 block to PRATT";"Erica";"Brooklyn";"Clinton Hill";40.68634;-73.966;"Private room";98;7;16;6;185
0.3;"2-bed brownstone duplex + garden";"Tracy";"Brooklyn";"Prospect Heights";40.68035;-73.97162;"Entire home/apt";250;7;21;1;158
1.05;"Sunny Apartment in Artist Home";"Tyrome";"Brooklyn";"Bushwick";40.70093;-73.92609;"Entire home/apt";105;3;118;2;9
0.71;"Light-filled classic Central Park ";"Dana";"Manhattan";"Upper West Side";40.79764;-73.96177;"Entire home/apt";140;3;81;1;198
0.11;"Upper Manhattan, New York";"Elliott";"Manhattan";"Harlem";40.82803;-73.94731;"Private room";89;1;1;1;365
0.27;"COZY QUIET room 4 DOOGLERS!";"Olan";"Manhattan";"Chelsea";40.74008;-74.00271;"Private room";98;30;30;2;364
1.23;"The Stuydio Modern and Light Filled";"Shelly";"Brooklyn";"Bedford-Stuyvesant";40.68413;-73.92357;"Entire home/apt";125;7;139;2;311
0.87;"loft bed - near transportation-15min to times sq";"Ssameer Or Trip";"Manhattan";"Harlem";40.82279;-73.95139;"Private room";60;3;11;3;219
2.09;"House On Henry (3rd FLR Suite)";"Annette";"Brooklyn";"Carroll Gardens";40.67967;-74.00154;"Entire home/apt";175;2;233;3;342
0.6;"Monkey Retreat Manhattan";"Meka";"Manhattan";"Washington Heights";40.83927;-73.94281;"Private room";65;2;68;1;312
0.55;"2000 SF 3br 2bath West Village private  townhouse";"Ann";"Manhattan";"West Village";40.73096;-74.00319;"Entire home/apt";500;4;46;2;243
3.02;"Williamsburg—Steps To Subway, Private Bath&Balcony";"Seth";"Brooklyn";"Williamsburg";40.71332;-73.94177;"Private room";101;3;335;1;152
0.79;"Beautiful Duplex Apartment";"Brenda";"Brooklyn";"Park Slope";40.66941;-73.98109;"Entire home/apt";220;30;88;1;9
1.46;"Large 2 Bedroom Great for Groups!";"Shelly";"Brooklyn";"Bedford-Stuyvesant";40.68373;-73.92377;"Entire home/apt";125;90;162;2;137
0.4;"Modern Brooklyn Apt., August sublet";"Erik";"Brooklyn";"Williamsburg";40.71459;-73.94844;"Entire home/apt";80;30;29;1;222
1.61;"1,800 sq foot in luxury building";"Dena";"Manhattan";"Harlem";40.8092;-73.94421;"Private room";100;2;170;1;346
0.2;"Sunny 2-story Brooklyn townhouse w deck and garden";"Jessica";"Brooklyn";"Gowanus";40.68157;-73.98989;"Entire home/apt";200;30;19;1;208
3.0;"Times Square, Safe, Clean and Cozy!";"Luiz";"Manhattan";"Hell's Kitchen";40.75527;-73.99291;"Private room";59;2;334;2;279
0.13;"Beautiful Apartment East Village";"Sally";"Manhattan";"East Village";40.7288;-73.98192;"Entire home/apt";140;7;12;1;164
4.22;"Park Slope Green Guest House";"Dani";"Brooklyn";"South Slope";40.66853;-73.98912;"Entire home/apt";120;30;467;2;192
0.06;"2 BR / 2 Bath Duplex Apt with patio! East Village";"Bruce";"Manhattan";"East Village";40.7254;-73.98157;"Entire home/apt";350;2;7;4;298
0.38;"NYC fabulous views Manhattan's eye";"Nimo";"Manhattan";"Kips Bay";40.74294;-73.98009;"Entire home/apt";199;5;38;1;260
3.01;"2 story family home in Williamsburg";"Alexandra";"Brooklyn";"Williamsburg";40.71942;-73.95748;"Entire home/apt";325;3;324;1;107
0.27;"Comfortable UWS 2-BD Family-Friendly Brownstone";"Stacy";"Manhattan";"Upper West Side";40.77823;-73.97637;"Entire home/apt";235;6;27;1;199
1.05;"Great Large 1 BR apt  in East Village!";"Bruce";"Manhattan";"East Village";40.72555;-73.97965;"Entire home/apt";225;1;115;4;299
3.2;"Eveland Private Bed & Living Room w/ Own Entrance";"Evelyn";"Brooklyn";"South Slope";40.66831;-73.98604;"Private room";99;2;354;3;20
2.03;"Sugar Hill Rest Stop ";"Emma";"Manhattan";"Harlem";40.82754;-73.94919;"Entire home/apt";170;2;195;1;318
0.24;"3 Story Town House in Park Slope";"Vero";"Brooklyn";"South Slope";40.66499;-73.97925;"Entire home/apt";400;2;16;2;216
0.12;"apartment next to Central park";"Sylvie";"Manhattan";"Upper West Side";40.77842;-73.97556;"Entire home/apt";170;7;13;1;224
0.08;"Large 1  BR in a 3 BR Brooklyn apt. next to Q Trn.";"Kay";"Brooklyn";"Prospect-Lefferts Gardens";40.65593;-73.96053;"Private room";75;2;9;1;324
0.08;"Modern Apt with Spectacular Views";"Jo";"Brooklyn";"Williamsburg";40.71923;-73.96468;"Private room";90;1;9;1;245
0.19;"Garden studio in the Upper East Sid";"Lisa";"Manhattan";"Upper East Side";40.778;-73.94822;"Entire home/apt";150;5;21;1;189
0.33;"Secluded Master Bedroom in Beautiful Huge Apt";"Fernando And Lenin";"Manhattan";"Washington Heights";40.85879;-73.93128;"Private room";85;15;36;1;307
0.58;"B & B Room 1";"Angela";"Brooklyn";"Bedford-Stuyvesant";40.68332;-73.9547;"Private room";70;3;63;2;310
2.35;"Sunny Room in New Condo";"Chris";"Brooklyn";"Clinton Hill";40.68414;-73.96351;"Private room";89;3;260;1;278
0.66;"Stylish & Sleek Apartment Near SoHo!";"Uli";"Manhattan";"East Village";40.72392;-73.99143;"Entire home/apt";185;5;73;1;209
0.29;"Unique & Charming small 1br Apt. LES";"Cs";"Manhattan";"Lower East Side";40.71341;-73.98856;"Entire home/apt";105;3;32;1;16
0.45;"Most Central Location!";"Lara";"Manhattan";"Hell's Kitchen";40.76754;-73.98399;"Private room";130;2;50;3;234
0.25;"Luminous Beautiful West Village Studio";"Tom";"Manhattan";"West Village";40.73442;-74.00303;"Entire home/apt";115;29;26;1;12
0.02;"Sanctuary in East Flatbush";"Sunder";"Brooklyn";"Flatlands";40.63188;-73.93248;"Private room";77;2;2;1;178
3.89;"Room with En Suite Bathroom & Deck";"Waldemar";"Brooklyn";"Clinton Hill";40.6873;-73.9634;"Private room";76;2;426;3;275
2.09;"FLAT MACDONOUGH";"Khem";"Brooklyn";"Bedford-Stuyvesant";40.68296;-73.93662;"Entire home/apt";125;3;227;2;163
0.77;"Huge Private  Floor at The Waverly";"Sahr";"Brooklyn";"Clinton Hill";40.6863;-73.96765;"Private room";135;4;84;3;365
0.03;"Modern Greenpoint, Brooklyn Apt";"Ali+Scott";"Brooklyn";"Greenpoint";40.73409;-73.95348;"Entire home/apt";250;29;3;1;34
0.1;"Sun-drenched, artsy modernist 1 BDRM duplex";"Elisabeth";"Brooklyn";"Williamsburg";40.71561;-73.94835;"Entire home/apt";199;3;10;1;280
0.01;"Fully Furnished Basement Apartment";"Fredah";"Queens";"Flushing";40.74028;-73.83168;"Private room";140;2;1;1;1
1.72;"FLAT MACDONOUGH GARDEN";"Khem";"Brooklyn";"Bedford-Stuyvesant";40.68281;-73.93524;"Entire home/apt";115;3;124;2;170
0.11;"Light filled Williamsburg Apartment";"Katherine";"Brooklyn";"Williamsburg";40.71596;-73.93938;"Entire home/apt";160;3;11;1;188
2.19;"Retreat in Williamsburg";"Ming";"Brooklyn";"Williamsburg";40.71492;-73.95935;"Entire home/apt";195;4;240;1;214
0.28;"NYC Zen";"Paula";"Manhattan";"East Village";40.72354;-73.98295;"Entire home/apt";195;3;30;1;248
1.86;"Cozy BR in Wiliamsburg 3 Bedroom";"Lulú";"Brooklyn";"Williamsburg";40.71165;-73.96087;"Private room";80;3;200;4;262
1.05;"Sunny Room in Old Historical Brooklyn Townhouse";"Obed";"Brooklyn";"Fort Greene";40.69101;-73.97312;"Private room";44;8;27;5;280
0.74;"Sun Filled Classic West Village Apt";"Karen";"Manhattan";"West Village";40.73474;-74.00101;"Private room";156;4;79;1;307
0.09;"Lg Rm in Historic Prospect Heights";"Michael";"Brooklyn";"Prospect Heights";40.67386;-73.96641;"Private room";85;15;9;1;339
1.61;"Classic Artist Loft Williamsburg";"White";"Brooklyn";"Williamsburg";40.71536;-73.96057;"Private room";125;3;155;1;1
0.05;"Great location. Spacious on PROSPECT PARK";"Paz";"Brooklyn";"Prospect Heights";40.6741;-73.96595;"Entire home/apt";115;15;4;1;269
0.32;"Private Bdrm/Bathrm. New! Elevator!";"Irene";"Manhattan";"East Harlem";40.79295;-73.93997;"Private room";69;2;34;1;10
1.24;"Sunny, clean 1 bdrm in W. Village";"Karene";"Manhattan";"West Village";40.73226;-74.00401;"Entire home/apt";225;45;134;1;312
0.25;"Great location in Williamsburg";"Viviana";"Brooklyn";"Williamsburg";40.71363;-73.96398;"Entire home/apt";125;6;27;1;189
1.16;"Light and Airy Upper East Side 1 BDR apartment";"Sara";"Manhattan";"Upper East Side";40.77711;-73.9527;"Entire home/apt";219;4;126;2;290
0.27;"Luxury Brownstone in Boerum Hill";"Sarah";"Brooklyn";"Boerum Hill";40.68559;-73.98094;"Entire home/apt";475;3;23;1;230
2.6;"CENTRAL PARK LOFT all for YOU";"Marie";"Manhattan";"Upper East Side";40.77456;-73.95323;"Entire home/apt";99;1;234;2;164
1.86;"Indie-Chic Share In Williamsburg";"Gus";"Brooklyn";"Williamsburg";40.71088;-73.95055;"Private room";69;4;202;2;53
0.26;"A room w/ a Manhattan view, longer stay";"Myung";"Queens";"Sunnyside";40.74559;-73.92313;"Private room";79;30;28;1;126
2.86;"Private, Large & Sunny 1BR w/W&D";"Renée";"Brooklyn";"Bedford-Stuyvesant";40.68306;-73.94659;"Entire home/apt";135;2;309;2;3
0.13;"Luxurious Condo in DUBMO with View";"Henry";"Brooklyn";"DUMBO";40.70207;-73.98571;"Private room";250;3;14;1;189
0.08;"Charming & Cozy midtown loft any WEEK ENDS  !!!";"Sylvia";"Manhattan";"Upper East Side";40.76123;-73.9642;"Entire home/apt";250;3;4;1;365
3.47;"Parlor Room In Victorian Townhouse";"Waldemar";"Brooklyn";"Clinton Hill";40.68843;-73.96408;"Private room";70;2;294;3;336
1.4;"House On Henry (2nd FLR Suite)";"Annette";"Brooklyn";"Carroll Gardens";40.6783;-74.00135;"Entire home/apt";165;2;150;3;342
1.66;"New York room with a view";"Newyorkroomwithaview";"Staten Island";"St. George";40.64524;-74.08088;"Private room";70;2;166;1;312
0.94;"Sunny cozy room in Brklyn townhouse";"Tessa";"Brooklyn";"Bushwick";40.70641;-73.91765;"Private room";50;2;47;1;37
2.04;"Room with a View";"Waundell";"Bronx";"Highbridge";40.83232;-73.93184;"Private room";40;1;219;3;353
1.78;"Light+Open+Airy+Rustic+Modern Loft";"Young";"Brooklyn";"Williamsburg";40.71045;-73.9677;"Entire home/apt";150;2;193;1;177
0.78;"West Inn 2 - East Village";"Bruce";"Manhattan";"East Village";40.72518;-73.98034;"Private room";125;1;84;4;310
2.0;"BROOKLYN VICTORIAN STYLE SUITE.....";"Carol";"Brooklyn";"Fort Greene";40.69098;-73.97113;"Private room";110;2;213;2;321
0.8;"Your own Lovely West Village Studio";"Sara";"Manhattan";"West Village";40.73756;-74.00405;"Entire home/apt";170;3;86;1;246
0.36;"Greenwich Village Stylish Apartment";"Myrna";"Manhattan";"West Village";40.73423;-74.0046;"Entire home/apt";150;26;38;1;225
0.11;"Beautiful Queens Brownstone! - 5BR";"Mark";"Queens";"Ridgewood";40.70382;-73.89797;"Entire home/apt";350;8;10;5;365
1.18;"Couldn't Be Closer To Columbia Uni";"Rahul";"Manhattan";"Morningside Heights";40.80549;-73.95924;"Private room";99;4;122;2;233
0.58;"Bright Spacious Luxury Condo";"Miyoung";"Brooklyn";"Williamsburg";40.71627;-73.9587;"Entire home/apt";200;4;33;1;1
0.5;"Park Slope haven 15 mins from Soho";"Monica";"Brooklyn";"Park Slope";40.67994;-73.97863;"Entire home/apt";150;5;52;1;18
1.17;"SAFE  AND BEAUTIFUL ACCOMODATION";"Marylyn";"Brooklyn";"Bedford-Stuyvesant";40.67992;-73.9475;"Private room";90;3;126;4;343
0.48;"Large Room in private Brownstone in Park Slope";"Kathleen R.";"Brooklyn";"Prospect Heights";40.67868;-73.97307;"Private room";120;3;51;3;250
1.85;"NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)";"Teresa";"Manhattan";"Upper East Side";40.76834;-73.95334;"Private room";75;3;199;1;326
0.29;"LARGE, COMFY 1BDR W/CHARACTER!!!";"Robert";"Brooklyn";"Bedford-Stuyvesant";40.68237;-73.9415;"Entire home/apt";175;26;30;1;364
0.38;"LUX APT IN TIMES SQUARE NEW BUILDING";"Claudia";"Manhattan";"Hell's Kitchen";40.76307;-73.99665;"Entire home/apt";275;1;41;1;299
1.04;"Designer 1 BR Duplex w/ Terrace- Spectacular Views";"Shane";"Manhattan";"Lower East Side";40.71882;-73.98852;"Entire home/apt";299;2;109;1;207
1.43;"Lovely Apt & Garden;  Legal;  Best Area; Amenities";"Laurie";"Brooklyn";"South Slope";40.6693;-73.98804;"Entire home/apt";135;5;151;3;162
2.69;"Lower East Side $57~/night";"Erina";"Manhattan";"Lower East Side";40.72319;-73.99201;"Private room";83;1;285;1;7
3.52;"Prime Location in Manhattan";"Lee";"Manhattan";"Chelsea";40.74859;-73.99671;"Private room";123;1;375;1;328
0.49;"( F) Excellent/Pvt Rm";"Jullett";"Queens";"Jamaica";40.67252;-73.76597;"Private room";55;2;52;2;365
0.31;"cozy studio with parking spot";"Mark";"Queens";"Middle Village";40.71722;-73.87856;"Entire home/apt";98;30;33;5;240
0.06;"Clean and convenient 2BR apartment";"Mark";"Queens";"Ridgewood";40.70234;-73.89816;"Private room";140;7;6;5;365
0.38;"3 floors of luxury!";"Mark";"Queens";"Middle Village";40.71546;-73.87854;"Entire home/apt";265;7;38;5;365
3.44;"The Institute—Heart of Williamsburg";"Bob";"Brooklyn";"Williamsburg";40.7195;-73.95976;"Entire home/apt";249;2;358;2;164
0.09;"MIDTOWN WEST - Large alcove studio";"Anka";"Manhattan";"Hell's Kitchen";40.76548;-73.98474;"Shared room";105;6;10;1;363
0.0;"Beautiful Uptown Manhattan apartmnt";"Douglas";"Manhattan";"Harlem";40.80234;-73.95603;"Private room";200;30;0;1;365
2.12;"Sml Rm in pr Brst  Park Sl great for Med/students";"Kathleen R.";"Brooklyn";"Prospect Heights";40.6787;-73.97262;"Private room";100;2;226;3;250
1.0;"City Room - Private Penthouse Apt.";"Wayne";"Manhattan";"Harlem";40.81035;-73.94598;"Entire home/apt";121;1;104;5;247
1.45;"Cozy bedroom by Yankee Stadium";"Waundell";"Bronx";"Highbridge";40.83075;-73.93058;"Private room";45;1;138;3;323
1.92;"Great apartment with private bathroom and entrance";"Jenny";"Manhattan";"East Harlem";40.79958;-73.94275;"Private room";100;5;204;1;192
3.04;"Private Garden Apt • New Renovation";"Paul";"Brooklyn";"Williamsburg";40.71625;-73.93845;"Entire home/apt";140;2;253;1;125
0.22;"Modern comfort in art infused landmark Brownstone";"Tami";"Brooklyn";"Bedford-Stuyvesant";40.6829;-73.93549;"Private room";71;2;23;1;91
1.17;"NOHO/EAST VILLAGE, PRIVATE 1/2 BATH";"Jason";"Manhattan";"NoHo";40.72773;-73.99134;"Private room";130;2;115;1;75
1.22;"Sleek & Comfortable Soho Apt";"Pete";"Manhattan";"West Village";40.72861;-74.0049;"Entire home/apt";199;5;129;1;286
1.13;"Spacious Williamsburg Share w/ LOFT BED";"Gus";"Brooklyn";"Williamsburg";40.70979;-73.95162;"Private room";69;4;82;2;60
2.04;"Cozy East Village Railroad 1 Bed!";"Leonardo";"Manhattan";"East Village";40.72752;-73.98432;"Entire home/apt";130;1;204;1;192
0.65;"1 Bedroom Loft w/ Private Roof Deck";"Alex";"Brooklyn";"Greenpoint";40.729;-73.95829;"Entire home/apt";195;2;69;1;58
1.84;"City Room - Private & Comfy Bedroom";"Wayne";"Manhattan";"Harlem";40.81219;-73.94499;"Private room";64;1;192;5;245
0.16;"Elegant NYC Pad";"Vasili";"Queens";"Ditmars Steinway";40.77185;-73.90502;"Entire home/apt";140;2;17;1;292
2.12;"Clean & bright 1BR in Cobble Hill, GREAT location!";"S.M.";"Brooklyn";"Cobble Hill";40.68926;-73.99386;"Entire home/apt";159;2;222;1;279
